Action,Input Topic,Output Topics
future,Elephant,"Ecosystem,Conservation,Poaching,Circus,Zoo,Asia,Africa,Endangered Species,Tusk,Ivory"
people,SpaceX,"Elon Musk,Engineers,Astronauts,Tesla,NASA,Billionaires,Innovation,Commercial Space industry,Falcon 9,Mars Mission"
evil,Rainforest,"Deforestation,Amazon,Biodiversity,Illegal Logging,Conservation,Indigenous Tribes,Wildlife,Climate Change,Oxygen,Palm Oil"
people,Mona Lisa,"Leonardo da Vinci,Art history,Renaissance,Italian,Portrait,Louvre Museum,World-famous painting,Enigmatic smile,Classic masterpiece,Artistic masterpiece"
opposite,Basketball,"Art,Reading,Cooking,Fishing,Gardening,Knitting,Videogames,Painting,Yoga,Swimming"
past,Mount Everest,"Adventurers,Edmund Hillary,Summit,Himalayas,Sherpas,Expedition,Base Camp,Icefall,K2,Climbers"
evil,Robot,"AI uprising,Cybernetic assassins,Rogue machines,Malevolent AI,Dystopian future,Technology gone wrong,Robot revolution,Unethical experiments,Artificial intelligence gone bad,Machines with malicious intent"
similar,Ancient Egypt,"Pharaohs,Pyramids,Hieroglyphics,Nile River,Archaeology,Mummies,Cleopatra,Sphinx,Papyrus,Rosetta Stone"
broader,Guitar,"Music,Acoustic,Electric,Rock,Jazz,Classical,Fender,Gibson,Strings,Amplifiers"
places,Octopus,"Water parks,Coral reefs,Marine biology,Sunken ships,Coastal cities,Aquariums,Oceanic abyss,Tidal pools,Seabeds,Underwater caves"
good,Pizza,"Cheese,Pepperoni,Margherita,Thin Crust,Deep Dish,Chicago Style,Neapolitan,Wood-Fired,Sicilian,New York Style"
broader,Soccer,"Sports,FIFA,World Cup,Lionel Messi,Premier League,UEFA Champions League,Penalty kicks,VAR technology,Goalkeepers,Women's soccer"
similar,Paris,"France,Eiffel Tower,Louvre Museum,Fashion Week,Baguette,Seine River,Arc de Triomphe,Montmartre,Notre-Dame Cathedral,Versailles Palace"
broader,Beyonce,"Music,Female Singers,Pop Culture,Formation World Tour,Lemonade Album,Destiny's Child,Grammy Awards,Jay-Z,Black is King,Coachella."
places,Mountains,"Canyons,Everest,Rockies,Kilimanjaro,Yosemite,Andes,Alps,Himalayas,Grand Canyon,Mont Blanc"
evil,Penguin,"Birds,Antarctica,Icebergs,Batman,DC Comics,Villains,Emperor,Webbed Feet,Tuxedo,Waddle"
deeper,Ocean,"Whales,Shipwrecks,Underwater volcanoes,Coral reefs,Deep sea creatures,Trenches,Submarine exploration,Tsunamis,Oceanic trenches,Seafloor mapping"
opposite,Space,"Closeness,Crowdedness,Confinement,Intimacy,Proximity,Filled,Packed,Density,Inclusiveness,Nearby"
similar,Pineapple,"Fruit,Tropical,Hawaii,Smoothie,Pizza topping,Sweet,Yellow,Vitamin C,Dole,Ananas"
places,Leonardo Da Vinci,"Italy,The Louvre,Florence,Renaissance,Art,Mona Lisa,Milan,Vitruvian Man,Vinci,Last Supper"
opposite,Frida Kahlo,"Passivity,Surrender,Inertness,Calmness,Relaxation,Rest,Silence,Motionlessness,Dormancy,Pliancy"
similar,Desert,"Sand dunes,Oasis,Camel trekking,Cactus,Bedouin tribes,Sahara,Death Valley,Hot temperatures,Mirages,Nomads"
future,Dolphin,"Beach excursions,Marine biology,Conservation efforts,Ocean research,Water parks,Aquatic therapy,Underwater photography,Dolphinariums,Ecotourism,Aquariums"
places,Antarctica,"Penguins,Icebergs,Research stations,Southern Ocean,Polar bears,South Pole,McMurdo Station,Aurora Australis,Weddell Sea,Lemaire Channel"
places,Chocolate,"Desserts,Cocoa beans,Pastry shops,Candy stores,Mexico,Switzerland,Belgium,Hershey,Cadbury,Lindt"
deeper,Dogs,"Breeds,Dog training,Canine behavior,Dog shows,Therapy dogs,Famous dogs,Dog sports,Dog health,Dog rescues,Dog competitions"
broader,Rainbow,"Colors,Light,Meteorology,Refraction,Nature,Skittles,Weather,Over the Rainbow,Double Rainbow,Spectrum"
people,Jazz,"Louis Armstrong,Duke Ellington,Billie Holiday,Miles Davis,John Coltrane,Ella Fitzgerald,Count Basie,Thelonious Monk,Charlie Parker,Dizzy Gillespie."
evil,Sunflowers,"Gardening,Vincent van Gogh,Yellow flowers,Pollination,Seeds,Fields,Bouquets,Helianthus,Flower arrangement,Art"
past,Mystery,"Detective novels,Agatha Christie,Murder she Wrote,Whodunit,Sherlock Holmes,Crime scenes,Hercule Poirot,Clues,Suspense,Secret societies"
opposite,Adventure,"Inaction,Relaxation,Laziness,Routine,Monotony,Stability,Predictability,Boredom,Repetition,Sameness"
opposite,Magic,"Mundane,Technology,Science,Reality,Logic,Rationality,Physics,Chemistry,Biology,Astronomy"
broader,Astronaut,"Space,NASA,Moon landing,International Space Station,Spacewalks,Space exploration,Neil Armstrong,Mars mission,Rocket launch,Solar system"
places,Egypt,"Desert,Pyramids,Nile River,Cairo,Luxor,Alexandria,Red Sea,Sphinx,Aswan,Suez Canal"
good,Gardening,"Plants,Flowers,Soil,Sunlight,Tools,Pruning,Watering,Fertilizers,Weeding,Mulching"
past,Superhero,"Comics,Marvel,DC,Spider-Man,Batman,Superman,X-Men,Iron Man,Captain America,Avengers"
past,Disco,"Dance floor,Bellbottoms,Studio 54,Night fever,Bee Gees,Disco ball,Funk,Saturday Night Fever,Donna Summer,Dancing queens"
similar,Sunset,"Dawn,Sunrise,Twilight,Dusk,Horizon,Evening,Skies,Golden Hour,Beach,Silhouette"
good,Technology,"Innovation,Artificial Intelligence,Cybersecurity,Elon Musk,Startups,Automation,Social Media,Virtual Reality,Apple,Blockchain"
similar,Sports,"Basketball,Baseball,Football,Soccer,Tennis,Golf,Hockey,Volleyball,Rugby,Cricket"
deeper,History,"Ancient Egypt,World War II,Renaissance,Vikings,Industrial Revolution,Aztec Empire,Mongol Empire,Victorian Era,American Civil War,Qing Dynasty"
future,Art,"Technology,Innovation,Creativity,Digital Art,Virtual Reality,Augmented Reality,Futurism,Science Fiction,Abstract Art,Holography"
similar,Music,"Rock,Pop,Rap,Classical,Jazz,Country,EDM,Hip-hop,R&B,Reggae"
people,Animals,"Dogs,Cats,Elephants,Penguins,Giraffes,Lions,Dolphins,Koalas,Penguins,Wolves"
people,Innovation,"Elon Musk,Steve Jobs,Mark Zuckerberg,Technology,Silicon Valley,Startups,Disruption,Invention,Creativity,Entrepreneurs"
good,Dreams,"Imagination,Aspirations,Nightmares,Lucid Dreaming,Dream Interpretation,Dream journaling,Dreamcatchers,Dream manipulation,Dream sharing,Dream analysis"
people,Robotics,"Engineers,Artificial Intelligence,Automation,Tech Companies,Programmers,Cyborgs,Ethical Debates,Machine Learning,Robotics,Future Workforce"
places,Moon,"Space,NASA,Astronauts,Lunar surface,Space exploration,Apollo missions,Telescopes,Lunar eclipses,Moon landing,Moon rocks"
evil,Robots,"Artificial intelligence,Dystopian future,Cyberpunk,Technology,Automation,Androids,Machines,Science fiction,Machine uprising,Future warfare"
opposite,Fashion,"Uniforms,Athleisure,Pajamas,Vintage Clothing,Luxury Brands,Streetwear,Denim,Accessories,Swimwear,Workwear"
similar,Italy,"Europe,Rome,Pasta,Renaissance,Colosseum,Vatican City,Florence,Mediterranean Sea,Milan,Venice"
opposite,Football,"Basketball,Baseball,Soccer,Tennis,Golf,Volleyball,Rugby,Hockey,Swimming,Running"
future,Piano,"Musical instruments,Composers,Recitals,Jazz,Classical music,Practicing,Sheet music,Performances,Online lessons,Music theory"
people,Forest,"Elves,Woodsmen,Druids,Amazonian Tribes,Yeti,Aborigines,Sasquatch,Ents,Cherokee,Maori"
places,Dance,"Ballroom,Nightclub,Ballet Studio,Street,Kitchen,Wedding Venue,School,Park,Carnival,Sports Stadium"
future,,"AI,Technology,Space exploration,Cybersecurity,Climate change,Renewable energy,Virtual reality,Automation,Artificial intelligence,Robotics"
evil,Photography,"Murder mystery,Darkroom,Black and white,Horror,Gothic,Sinister,Shadows,Spooky,Macabre,Suspense"
evil,Travel,"Criminals,Dark Arts,Villains,Haunted Places,Satanists,Witches,Horror Movies,Demons,Monster Urban Legends,Dark Tourism"
similar,Fantasy,"Mythical creatures,Wizards,Quests,Tolkien,Magic,Dragons,Middle-earth,Hobbits,Elves,Dungeons & Dragons"
places,Unicorns,"Fairy tales,Magical forests,Enchanted meadows,Creatures,Myths,Fantasy books,Rainbows,Dreams,Imaginary kingdoms,Horns"
